time,model_id,model_name,port_name,data,,,,,,,,,,,,,
2,2,(2,2),,<3,0,0,0,0>,,,,,,,,
2,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
2,9,(3,2),,<2,1,7,0,1>,,,,,,,,
2,10,(1,2),,<4,0,0,0,0>,,,,,,,,
2,12,(2,3),outputNeighborhood,<3.5,0,0,0,0>,,,,,,,,
2,12,(2,3),,<3.5,0,0,0,0>,,,,,,,,
2,20,(1,4),,<500,2,0,0,0>,,,,,,,,
2,24,(2,4),,<500,2,0,0,0>,,,,,,,,
2,25,(3,4),,<500,2,0,0,0>,,,,,,,,
3,2,(2,2),,<3,0,0,0,0>,,,,,,,,
3,3,(4,3),,<500,2,0,0,0>,,,,,,,,
3,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
3,5,(4,1),,<500,2,0,0,0>,,,,,,,,
3,6,(1,1),,<4.5,0,0,0,0>,,,,,,,,
3,7,(2,1),outputNeighborhood,<3.5,1,7,0,1>,,,,,,,,
3,7,(2,1),,<3.5,1,7,0,1>,,,P,,,,,
3,8,(3,0),,<500,2,0,0,0>,,,,P,,,,
3,9,(3,2),outputNeighborhood,<2,1,7,0,1>,,,,,,,,
3,9,(3,2),,<2,1,7,0,1>,,,,,,,,
3,10,(1,2),,<4,0,0,0,0>,,,,,,,,
3,11,(4,2),,<1,0,0,2,0>,,,,,,,,
3,12,(2,3),,<3.5,0,0,0,0>,,,,,,,,
3,18,(1,0),,<500,2,0,0,0>,,,,,,,,
3,21,(2,0),,<500,2,0,0,0>,,,,,,,,
3,22,(3,1),,<2.5,0,0,2,0>,,,,,,,,
3,2,(2,2),,<3,0,0,0,0>,,,,,,,,
3,3,(4,3),,<500,2,0,0,0>,,,,,,,,
3,4,(3,3),,<2.5,0,0,0,0>,,,,,,,,
3,5,(4,1),,<500,2,0,0,0>,,,,,,,,
3,7,(2,1),,<3.5,0,0,0,1>,,,,,,,,
3,8,(3,0),,<500,2,0,0,0>,,,,,,,,
3,9,(3,2),,<2,0,0,0,1>,,,,,,,,
3,11,(4,2),outputNeighborhood,<1,0,0,2,0>,,,,,,,,
