time,model_id,model_name,port_name,data,,,,,,,,,,,,
6,12,(3,2),,<2,0,0,0,0>,,,,,,,
6,21,(3,1),,<2.5,0,0,0,0>,,,,,,,
6,2,(2,1),,<3.5,0,0,0,0>,,,,,,,
6,4,(4,3),,<500,2,0,0,0>,,,,,,,
6,5,(3,3),,<2.5,0,0,0,0>,,,,,,,
6,6,(4,1),,<500,2,0,0,0>,,,,,,,
6,7,(2,2),,<3,0,0,0,0>,,,,,,,
6,9,(2,3),,<3.5,0,0,0,0>,,,,,,,
6,11,(4,2),,<1,0,0,0,0>,,,,,,,
6,12,(3,2),outputNeighborhood,<2,0,0,0,0>,,,,,,,
6,12,(3,2),,<2,0,0,0,0>,,,,,,,
6,21,(3,1),,<2.5,0,0,0,0>,,,,,,,
6,4,(4,3),,<500,2,0,0,0>,,,,,,,
6,5,(3,3),,<2.5,0,0,0,0>,,,,,,,
6,6,(4,1),,<500,2,0,0,0>,,,,,,,
6,11,(4,2),outputNeighborhood,<1,0,0,0,0>,,,,,,,
6,11,(4,2),,<1,0,0,0,0>,,,,,,,
6,12,(3,2),,<2,0,0,0,0>,,,,,,,
6,21,(3,1),,<2.5,0,0,0,0>,,,,,,,
7,4,(4,3),,<500,2,0,0,0>,,,,,,,
7,5,(3,3),,<2.5,0,0,0,0>,,,,,,,
7,6,(4,1),,<500,2,0,0,0>,,,,,,,
7,11,(4,2),outputNeighborhood,<1,0,0,0,1>,,,,,,,
7,11,(4,2),,<1,0,0,0,0>,,,,,,,
7,12,(3,2),,<2,0,0,0,0>,,,,,,,
7,21,(3,1),,<2.5,0,0,0,0>,,,,,,,
7,1,(1,3),,<4.5,0,0,0,0>,,,,,,,
7,2,(2,1),,<3.5,0,0,0,0>,,,,,,,
7,3,(1,1),,<4.5,0,0,0,0>,,,,,,,
7,4,(4,3),,<500,2,0,0,0>,,,,,,,
7,5,(3,3),,<2.5,0,0,0,0>,,,,,,,
7,6,(4,1),,<500,2,0,0,0>,,,,,,,
7,7,(2,2),,<3,0,0,0,0>,,,,,,,
7,8,(1,0),,<500,2,0,0,0>,,,,,,,
7,9,(2,3),,<3.5,0,0,0,0>,,,,,,,
7,10,(1,2),,<4,0,0,0,0>,,,,,,,
7,11,(4,2),,<1,0,0,0,0>,,,,,,,
7,12,(3,2),,<2,0,0,0,0>,,,,,,,
7,13,(0,0),,<500,2,0,0,0>,,,,,,,
7,14,(0,1),,<500,2,0,0,0>,,,,,,,
7,15,(0,2),,<500,2,0,0,0>,,,,,,,
7,16,(0,4),,<500,2,0,0,0>,,,,,,,
7,17,(0,3),,<500,2,0,0,0>,,,,,,,
7,18,(4,0),,<500,2,0,0,0>,,,,,,,
7,19,(1,4),,<500,2,0,0,0>,,,,,,,
7,20,(2,0),,<500,2,0,0,0>,,,,,,,
7,21,(3,1),,<2.5,0,0,0,0>,,,,,,,
7,22,(4,4),,<500,2,0,0,0>,,,,,,,
7,23,(2,4),,<500,2,0,0,0>,,,,,,,
7,24,(3,0),,<500,2,0,0,0>,,,,,,,
7,25,(3,4),,<500,2,0,0,0>,,,,,,,
